MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Month,Humidity,Pressure,Cloud,RainToday_Yes,RainTomorrow_Yes
2.7,18.8,0.0,0.8,9.1,20.0,7,75.0,1026.05,2.5,0,0
6.4,20.7,0.0,1.8,7.0,22.0,7,59.5,1021.55,3.0,0,0
6.5,19.9,0.4,2.2,7.3,31.0,7,77.5,1016.2,2.0,0,1
9.5,19.2,1.8,1.2,4.7,26.0,7,83.0,1018.8499999999999,6.0,1,1
9.5,16.4,1.8,1.4,4.9,44.0,7,63.0,1021.25,6.0,1,1
0.7,15.9,6.8,2.4,9.3,24.0,7,63.5,1030.8,0.5,1,0
0.7,18.3,0.0,0.8,9.3,37.0,7,54.0,1026.5500000000002,3.0,0,0
3.2,20.4,0.0,1.4,6.9,24.0,7,50.0,1022.5,5.5,0,1
9.8,19.5,8.0,1.2,2.5,31.0,7,80.5,1025.65,6.5,1,1
11.2,20.4,4.6,2.8,1.7,46.0,7,64.5,1017.1,7.0,1,1
13.4,17.1,2.6,2.6,4.2,54.0,7,70.0,1014.95,5.5,1,1
7.9,17.3,4.4,2.2,5.4,19.0,7,79.0,1018.85,6.5,1,0
5.3,18.8,0.2,1.0,2.3,17.0,7,79.5,1024.6,6.5,0,0
7.9,19.7,0.0,0.2,6.5,31.0,7,63.5,1023.95,5.5,0,0
9.0,17.1,0.0,2.2,0.8,43.0,7,76.0,1009.25,6.5,0,1
10.2,17.1,24.0,1.8,6.7,44.0,7,65.0,1014.3,4.5,1,1
6.7,16.9,2.6,1.2,3.9,46.0,7,81.0,1012.6,4.5,1,1
10.4,17.9,20.6,2.0,3.2,76.0,7,53.5,1002.25,5.5,1,1
3.3,14.3,15.2,1.8,9.4,37.0,7,72.0,1023.0,1.0,1,0
1.2,17.0,0.0,1.8,7.8,20.0,7,74.5,1029.3,3.5,0,0
3.1,17.1,0.0,1.2,4.7,28.0,7,71.5,1029.25,5.5,0,0
3.3,18.9,0.0,1.2,7.5,37.0,7,60.0,1022.5,7.0,0,0
8.9,17.4,0.0,2.8,0.0,43.0,7,82.5,1013.4000000000001,7.5,0,1
9.3,18.3,19.2,3.8,8.3,33.0,7,61.0,1017.8,3.5,1,0
7.4,17.0,0.0,2.6,1.9,28.0,7,86.0,1015.9000000000001,7.5,0,1
7.8,19.3,12.6,1.8,9.4,52.0,7,74.5,1016.5,1.5,1,1
9.0,20.8,4.0,2.0,1.3,39.0,7,90.5,1008.8,7.5,1,1
11.8,15.9,5.4,1.6,2.2,44.0,7,89.0,1007.85,7.0,1,1
9.7,18.0,11.6,2.0,3.7,39.0,7,89.5,1010.3499999999999,6.0,1,1
12.4,16.2,30.6,3.2,5.7,54.0,7,53.0,1005.3,5.0,1,1
6.7,14.1,3.0,4.2,0.0,37.0,7,86.5,1016.1,4.0,1,1
7.8,18.1,7.8,1.0,2.0,30.0,8,84.0,1019.95,7.0,1,1
11.2,17.5,18.2,0.6,8.2,46.0,8,54.0,1017.65,2.0,1,0
4.7,17.1,0.2,2.6,9.7,24.0,8,60.0,1027.0,3.0,0,0
2.1,19.4,0.0,2.0,9.8,22.0,8,58.5,1031.85,1.0,0,0
2.2,20.3,0.0,2.6,10.0,20.0,8,62.0,1032.25,1.0,0,0
2.3,20.7,0.0,2.2,9.9,22.0,8,74.0,1028.5500000000002,5.0,0,0
4.3,17.3,0.0,2.2,3.9,24.0,8,58.0,1028.35,5.0,0,0
7.0,17.6,0.0,2.0,10.0,31.0,8,52.5,1030.0,1.5,0,0
8.1,18.0,0.0,4.2,9.9,46.0,8,52.5,1028.2,2.0,0,0
9.1,18.7,0.0,4.4,9.2,39.0,8,46.5,1026.65,4.0,0,0
7.6,20.4,0.0,4.2,9.0,30.0,8,45.0,1025.2,3.5,0,0
4.9,17.5,0.0,4.0,7.2,28.0,8,45.5,1029.15,4.0,0,0
5.8,19.7,0.0,3.0,9.9,31.0,8,43.0,1030.25,1.0,0,0
3.3,21.3,0.0,3.4,10.0,33.0,8,37.0,1028.25,0.5,0,0
3.3,23.1,0.0,4.4,10.2,30.0,8,37.0,1026.6,4.0,0,0
3.1,23.9,0.0,2.4,10.5,30.0,8,28.0,1028.55,2.0,0,0
2.5,24.2,0.0,3.4,10.5,28.0,8,31.0,1031.2,0.5,0,0
1.8,22.5,0.0,3.8,10.4,39.0,8,27.5,1027.65,1.5,0,0
5.5,18.2,0.0,4.0,0.2,30.0,8,76.0,1025.15,7.0,0,0
6.9,17.4,0.2,1.0,10.2,37.0,8,38.0,1032.95,2.5,0,0
8.5,17.6,0.0,4.6,10.2,43.0,8,45.0,1036.15,4.0,0,0
5.5,19.1,0.0,3.0,10.5,41.0,8,45.5,1032.05,2.0,0,0
3.4,21.4,0.0,4.4,10.5,31.0,8,36.0,1024.1999999999998,1.0,0,0
3.8,21.3,0.0,3.4,6.0,22.0,8,53.0,1017.7,7.0,0,0
5.0,20.1,0.0,1.6,10.3,30.0,8,69.0,1021.5999999999999,3.5,0,0
6.8,21.2,0.0,3.2,10.4,22.0,8,54.5,1022.15,0.5,0,0
8.7,24.1,0.0,5.4,9.2,30.0,8,45.0,1015.2,2.0,0,0
7.1,21.7,0.0,3.2,6.3,26.0,8,68.0,1013.25,5.5,0,1
9.5,18.7,1.2,2.0,9.0,41.0,8,67.5,1013.65,3.5,1,0
3.8,16.9,0.2,3.6,9.9,35.0,8,46.5,1022.75,2.5,0,0
8.7,18.5,0.0,3.2,1.0,30.0,8,59.5,1023.9,7.0,0,1
10.9,18.9,3.4,2.6,3.8,20.0,9,79.0,1023.95,6.5,1,0
5.4,22.9,0.2,2.8,10.7,22.0,9,62.0,1023.45,2.0,0,0
11.3,19.4,0.0,3.8,9.8,39.0,9,54.5,1020.7,1.5,0,1
9.8,21.6,1.2,4.2,10.6,41.0,9,63.0,1020.3499999999999,1.0,1,0
9.7,19.4,0.0,4.6,10.7,28.0,9,45.0,1022.8,0.5,0,0
5.7,20.1,0.0,4.4,10.5,35.0,9,49.0,1023.95,1.0,0,0
5.3,22.4,0.0,5.6,10.1,30.0,9,49.0,1020.45,5.5,0,0
4.6,21.3,0.0,2.8,10.6,30.0,9,56.0,1017.55,1.0,0,0
7.7,18.9,0.0,3.6,2.9,31.0,9,62.5,1016.6500000000001,6.5,0,0
13.4,20.5,0.8,2.6,7.0,46.0,9,66.5,1013.3,3.5,0,0
15.2,20.9,0.4,4.4,3.3,52.0,9,73.5,1009.65,6.5,0,1
11.8,17.6,6.0,4.2,5.2,59.0,9,64.0,1014.05,6.0,1,0
13.6,19.6,0.0,5.2,4.7,54.0,9,60.5,1015.75,6.5,0,1
6.2,20.3,1.2,2.8,8.6,26.0,9,44.5,1021.05,5.5,1,0
4.7,22.5,0.0,2.2,10.3,30.0,9,44.0,1010.1,1.0,0,1
11.6,19.0,8.2,4.4,5.4,41.0,9,86.5,1009.0999999999999,6.0,1,1
13.2,20.0,1.8,4.0,5.5,56.0,9,62.5,1011.3,4.5,1,1
13.8,20.5,4.0,2.6,4.0,44.0,9,53.5,1017.0999999999999,6.5,1,0
9.5,21.7,0.2,3.0,7.3,31.0,9,54.5,1019.75,5.5,0,1
13.0,17.0,3.4,4.8,4.4,67.0,9,64.0,1013.45,6.0,1,1
1.0,19.0,5.4,1.6,11.1,37.0,9,45.5,1026.8,0.5,1,0
5.7,23.5,0.0,3.4,9.3,50.0,9,31.0,1019.8499999999999,3.5,0,0
11.3,25.5,0.0,5.2,9.9,50.0,9,51.5,1010.9,1.5,0,1
15.2,16.5,21.0,5.6,0.0,39.0,9,92.5,1010.55,7.5,1,1
10.2,18.2,14.2,2.2,1.3,33.0,9,64.0,1015.55,6.5,1,0
7.6,18.9,0.0,2.0,3.9,33.0,9,50.0,1023.0999999999999,6.5,0,0
12.3,21.6,0.2,2.6,9.7,28.0,9,62.0,1022.9000000000001,2.0,0,0
8.2,24.6,0.0,3.8,11.0,33.0,9,52.0,1014.7,1.0,0,1
11.8,19.1,4.2,4.4,6.0,44.0,9,67.0,1011.25,5.5,1,0
13.0,19.9,0.6,4.8,1.3,37.0,10,63.5,1012.15,7.0,0,1
12.9,18.4,5.0,3.4,8.3,41.0,10,65.5,1016.4,4.5,1,0
4.8,19.4,0.0,2.6,8.6,31.0,10,49.5,1023.4499999999999,3.5,0,0
9.0,19.6,0.4,3.6,9.3,52.0,10,70.5,1021.65,5.0,0,0
3.4,19.0,0.4,4.6,11.1,35.0,10,39.5,1029.8,4.0,0,0
7.4,20.5,0.0,5.2,11.1,30.0,10,45.5,1031.4,3.5,0,0
7.4,21.9,0.0,4.8,11.4,35.0,10,45.0,1029.5,1.0,0,0
7.8,26.9,0.0,4.6,11.2,28.0,10,35.5,1024.0500000000002,0.0,0,0
7.4,22.6,0.0,4.0,11.4,37.0,10,54.5,1021.55,1.0,0,0
11.1,25.6,0.0,7.0,11.5,28.0,10,50.0,1020.3499999999999,2.0,0,0
9.7,20.6,0.0,4.4,6.0,28.0,10,56.0,1018.85,7.0,0,0
13.1,20.5,0.0,4.0,9.2,41.0,10,51.5,1022.1,4.0,0,0
6.3,22.1,0.0,7.0,10.9,39.0,10,49.0,1025.25,2.5,0,0
12.2,29.5,0.0,6.0,11.5,28.0,10,35.5,1020.95,0.5,0,0
18.1,32.1,0.0,7.2,11.7,41.0,10,35.5,1011.45,3.5,0,0
15.7,22.3,0.0,6.4,5.9,37.0,10,62.5,1013.8,6.0,0,0
14.8,22.0,0.0,5.4,9.5,33.0,10,53.5,1017.8499999999999,3.5,0,0
15.7,25.8,0.0,5.2,11.8,33.0,10,53.5,1021.7,2.5,0,0
12.8,33.5,0.0,8.2,11.9,35.0,10,37.5,1019.4000000000001,1.5,0,0
21.3,35.7,0.0,9.6,8.9,48.0,10,23.5,1013.55,6.5,0,0
17.9,32.7,0.0,7.0,8.8,33.0,10,37.5,1012.05,5.0,0,0
16.5,30.1,0.0,5.4,5.2,41.0,10,68.0,1015.5,6.5,0,0
18.4,31.1,0.0,4.6,3.2,39.0,10,49.0,1011.35,6.5,0,1
18.0,23.0,5.0,3.6,4.5,63.0,10,79.5,1008.9,6.5,1,1
13.2,20.5,20.4,4.6,7.1,43.0,10,66.0,1017.3,6.5,1,0
7.7,21.6,0.2,4.8,11.4,30.0,10,55.5,1017.55,3.5,0,0
8.5,22.3,0.0,5.0,11.7,31.0,10,51.0,1012.3499999999999,1.0,0,0
15.4,20.3,0.0,6.2,1.1,43.0,10,80.5,1004.6500000000001,8.0,0,1
16.1,21.8,6.2,1.2,6.5,52.0,10,66.5,1012.1,7.0,1,0
10.3,19.5,0.2,5.2,11.6,46.0,10,55.5,1020.8499999999999,4.5,0,0
10.0,22.5,0.0,6.4,11.0,35.0,10,52.0,1024.4,3.5,0,0
10.8,24.1,0.0,4.8,12.5,35.0,11,43.0,1020.2,1.0,0,0
